stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
42,42,RIGGS & FULTON FS E/B,RIGGS AVE at FULTON AVE fs eb,39.300907,-76.645545,,,,,0
44,44,RIGGS & STRICKER E/B,RIGGS AVE at STRICKER ST eb,39.301032,-76.64167,,,,,0
46,46,CALHOUN & MOSHER S/B,CALHOUN ST at MOSHER ST sb,39.30007,-76.640156,,,,,0
48,48,CALHOUN & LANVALE S/B,CALHOUN ST at LANVALE ST sb,39.297812,-76.640058,,,,,0
50,50,CALHOUN & HARLEM sb,CALHOUN ST at HARLEM AVE sb,39.296679,-76.639938,,,,,0
51,51,CALHOUN & FRANKLIN S/B,CALHOUN ST at FRANKLIN ST sb,39.294152,-76.63983,,,,,0
52,52,CALHOUN & SARATOGA S/B,CALHOUN ST at SARATOGA ST sb,39.292198,-76.639682,,,,,0
53,53,CALHOUN & LEXINGTON S/B,CALHOUN ST at LEXINGTON ST sb,39.290841,-76.639646,,,,,0
54,54,CALHOUN & FAYETTE S/B,CALHOUN ST at FAYETTE ST sb,39.289741,-76.639571,,,,,0
55,55,BALTIMORE ST & CAREY ST wb,,39.28858,-76.638005,,,,,0
56,56,BALTIMORE ST & ARLINGTON E/B,BALTIMORE ST at ARLINGTON AVE eb,39.288634,-76.635218,,,,,0
57,57,BALTIMORE ST & SCHROEDER E/B,BALTIMORE ST at SCHROEDER ST eb,39.288743,-76.633754,,,,,0
58,58,BALTIMORE ST & POPPLETON ST eb,,39.288827,-76.632068,,,,,0
59,59,BALTIMORE & MLK BLVD E/B,BALTIMORE ST at MLK JR BLVD eb,39.288995,-76.62809,,,,,0
60,60,BALTIMORE ST & PINE  ST eb,BALTIMORE ST at PINE ST eb,39.289005,-76.626711,,,,,0
62,62,BALTIMORE ST & PACA ST eb,,39.289143,-76.622259,,,,,0
66,66,BALTIMORE ST & CHARLES ST eb,,39.28942,-76.615243,,,,,0
67,67,BALTIMORE ST & LIGHT MB E/B,BALTIMORE ST at LIGHT ST mid eb (Charles),39.289467,-76.614026,,,,,0
68,68,LIGHT ST & REDWOOD ST sb,,39.288763,-76.613823,,,,,0
70,70,LIGHT ST & LOMBARD/PRATT MB S/B,LIGHT ST at LOMBARD ST mid sb,39.287186,-76.613676,,,,,0
74,74,CHARLES ST & HILL sb,CHARLES ST at HILL ST sb,39.280967,-76.614689,,,,,0
75,75,HANOVER & HENRIETTA S/B,HANOVER ST at HENRIETTA ST sb,39.278955,-76.615759,,,,,0
76,76,HANOVER  & HAMBURG S/B,HANOVER ST at HAMBURG ST sb,39.277831,-76.615663,,,,,0
77,77,HANOVER ST & CROSS ST sb,,39.276766,-76.615556,,,,,0
78,78,HANOVER & WEST S/B,HANOVER ST at WEST ST sb,39.275671,-76.615541,,,,,0
79,79,HANOVER & OSTEND  sb,HANOVER ST at OSTEND ST sb,39.274706,-76.615444,,,,,0
80,80,HANOVER & CLEMENT S/B,HANOVER ST at CLEMENT ST sb,39.27368,-76.615441,,,,,0
81,81,FORT & CHARLES fs eb,FORT AVE at CHARLES ST fs eb,39.272477,-76.613826,,,,,0
82,82,FORT AVE & LIGHT ST eb,,39.272529,-76.611771,,,,,0
84,84,FORT & RIVERSIDE E/B,FORT AVE at RIVERSIDE AVE eb,39.272654,-76.608361,,,,,0
85,85,FORT & COVINGTON E/B,FORT AVE at COVINGTON ST eb,39.272727,-76.606722,,,,,0
86,86,FORT & JACKSON E/B,FORT AVE at JACKSON ST eb,39.272808,-76.605236,,,,,0
87,87,FORT & WEBSTER E/B,FORT AVE at WEBSTER ST eb,39.272481,-76.603999,,,,,0
89,89,FORT & LAWRENCE E/B,FORT AVE at LAWRENCE ST eb,39.271539,-76.601387,,,,,0
91,91,FORT & WOODALL E/B,E FORT AVE at WOODALL ST,39.270619,-76.598868,,,,,0
92,92,FORT & ARMOUR E/B,FORT AVE at ARMOUR ST eb,39.269928,-76.596849,,,,,0
93,93,FORT AVE & DECATUR ST eb,,39.26919,-76.594686,,,,,0
94,94,FORT & TOWSON E/B,FORT AVE at TOWSON ST eb,39.268352,-76.592313,,,,,0
95,95,FORT & ANDRE E/B,FORT AVE at ANDRE ST eb,39.267872,-76.590936,,,,,0
96,96,FORT & B&O BRIDGE E/B,FORT AVE at CSX RAILROAD BRIDGE eb,39.266659,-76.587496,,,,,0
97,97,FORT MCHENRY,FORT AVE LOOP at LOOP,39.26592,-76.58413,,,,,0
98,98,FORT AVE & B&O BRIDGE W/B,FORT AVE at CSX RRD BRIDGE wb,39.266594,-76.587053,,,,,0
99,99,FORT AVE & ANDRE W/B,FORT AVE at ANDRE ST wb,39.267916,-76.590807,,,,,0
100,100,FORT AVE & TOWSON W/B,FORT AVE at TOWSON ST wb,39.268396,-76.592183,,,,,0
102,102,FORT AVE & DECATUR W/B,FORT AVE at DECATUR ST wb,39.269311,-76.594807,,,,,0
103,103,FORT AVE & ARMOUR ST W/B,FORT AVE at ARMOUR ST wb,39.269949,-76.596626,,,,,0
104,104,FORT AVE & WOODALL W/B,FORT AVE at WOODALL ST wb,39.270651,-76.598692,,,,,0
105,105,FORT AVE & LAWRENCE W/B,FORT AVE at LAWRENCE ST wb,39.271574,-76.601246,,,,,0
107,107,FORT AVE & WEBSTER W/B,FORT AVE at WEBSTER ST wb,39.272525,-76.60387,,,,,0
108,108,FORT AVE & JACKSON W/B,FORT AVE at JACKSON ST wb,39.272888,-76.60513,,,,,0
109,109,FORT AVE & COVINGTON W/B,FORT AVE at COVINGTON ST wb,39.272806,-76.606616,,,,,0
110,110,FORT AVE & RIVERSIDE W/B,FORT AVE at RIVERSIDE AVE wb,39.272734,-76.608255,,,,,0
112,112,FORT & LIGHT wb,FORT AVE at LIGHT ST wb,39.27261,-76.611666,,,,,0
113,113,FORT & CHARLES W/B,FORT AVE at CHARLES ST wb,39.272542,-76.614019,,,,,0
114,114,CHARLES ST & OSTEND N/B,CHARLES ST at OSTEND ST nb,39.274718,-76.614192,,,,,0
115,115,CHARLES ST & WEST ST nb,,39.275736,-76.614277,,,,,0
116,116,CHARLES & CROSS N/B,CHARLES ST at CROSS ST nb,39.276813,-76.614304,,,,,0
117,117,CHARLES ST & HENRIETTA N/B,CHARLES ST at HENRIETTA ST nb,39.27894,-76.614484,,,,,0
119,119,CHARLES & LEE N/B,CHARLES ST at LEE ST nb,39.282021,-76.614674,,,,,0
120,120,CHARLES & CONWAY N/B,CHARLES ST at CONWAY ST nb,39.284003,-76.614644,,,,,0
121,121,CHARLES ST & PRATT ST nb,,39.286427,-76.61483,,,,,0
122,122,CHARLES ST & LOMBARD ST nb,,39.287616,-76.614994,,,,,0
125,125,FAYETTE ST & HOWARD ST wb,,39.290443,-76.619476,,,,,0
126,126,FAYETTE ST & EUTAW ST wb,,39.290414,-76.62081,,,,,0
127,127,FAYETTE ST & PACA ST wb,,39.290377,-76.622201,,,,,0
128,128,FAYETTE ST & GREENE ST fs wb,,39.290331,-76.62372,,,,,0
129,129,FAYETTE ST & PINE W/B,FAYETTE ST at PINE ST wb,39.290234,-76.62671,,,,,0
130,130,FAYETTE & FREMONT W/B,FAYETTE ST at FREMONT AVE wb,39.2901,-76.629309,,,,,0
131,131,FAYETTE & POPPLETON W/B,FAYETTE ST at POPPLETON ST wb,39.289989,-76.632046,,,,,0
132,132,FAYETTE & SCHROEDER ST  W/B,FAYETTE ST at SCHROEDER ST wb,39.289953,-76.63368,,,,,0
133,133,FAYETTE & CARROLTON W/B,FAYETTE ST at CARROLLTON AVE wb,39.289845,-76.636659,,,,,0
134,134,FAYETTE & CAREY W/B,FAYETTE ST at CAREY ST wb,39.289796,-76.638063,,,,,0
136,136,CAREY & MULBERRY N/B,CAREY ST at MULBERRY ST nb,39.293181,-76.638246,,,,,0
137,137,CAREY & FRANKLIN N/B,CAREY ST at FRANKLIN ST nb,39.294136,-76.638309,,,,,0
138,138,CAREY & EDMONDSON N/B,CAREY ST at EDMONDSON AVE nb,39.295364,-76.63835,,,,,0
139,139,CAREY & HARLEM N/B,CAREY ST at HARLEM AVE nb,39.296599,-76.638444,,,,,0
140,140,CAREY & LANVALE N/B,CAREY ST at LANVALE ST nb,39.297787,-76.638512,,,,,0
141,141,CAREY & LAFAYETTE N/B,CAREY ST at LAFAYETTE AVE nb,39.298951,-76.638597,,,,,0
144,144,RIGGS & STRICKER W/B,RIGGS AVE at STRICKER ST wb,39.301112,-76.641564,,,,,0
145,145,RIGGS & GILMOR W/B,RIGGS AVE at GILMOR ST wb,39.301063,-76.642937,,,,,0
146,146,RIGGS & MOUNT W/B,RIGGS AVE at MOUNT ST wb,39.301009,-76.644397,,,,,0
147,147,RIGGS & FULTON W/B,RIGGS AVE at FULTON AVE wb,39.300971,-76.645755,,,,,0
148,148,FULTON & LAURENS N/B,FULTON AVE at LAURENS ST nb,39.303033,-76.645855,,,,,0
149,149,FULTON & LORMAN N/B,FULTON AVE at LORMAN ST nb,39.30413,-76.64594,,,,,0
150,150,FULTON & PRESSTMAN N/B,FULTON AVE at PRESSTMAN ST nb,39.305193,-76.646001,,,,,0
151,151,FULTON & BAKER N/B,FULTON AVE at BAKER ST nb,39.306567,-76.646072,,,,,0
152,152,FULTON & PRESBURY N/B,FULTON AVE at PRESBURY ST nb,39.307834,-76.646144,,,,,0
153,153,FULTON & NORTH AVE N/B,FULTON AVE at NORTH AVE nb,39.309772,-76.646339,,,,,0
154,154,FULTON AVE & CLIFTON AVE nb,,39.311878,-76.646403,,,,,0
156,156,REISTERSTOWN RD & RUSKIN AVE nb,,39.314705,-76.648019,,,,,0
159,159,GWYNNS FALLS & REISTERSTOWN fs wb,GWYNNS FALLS PKWY at REISTERSTOWN RD fs wb,39.316556,-76.650814,,,,,0
160,160,GWYNNS FALLS & PULASKI ST fs wb,GWYNNS FALLS PKWY at PULASKI ST fs wb,39.315697,-76.652549,,,,,0
161,161,GWYNNS FALLS & WARWICK FS W/B,GWYNNS FALLS PKWY at WARWICK AVE fs wb,39.316021,-76.656612,,,,,0
163,163,TIOGA PKWY & FOREST PARK AVE E/B,TIOGA PKWY at FOREST PARK AVE eb,39.318443,-76.657495,,,,,0
164,164,REISTERSTOWN & LIBERTY HGTS N/B,REISTERSTOWN RD at LIBERTY HEIGHTS AVE,39.318227,-76.652248,,,,,0
165,165,REISTERSTOWN RD & OCALA AVE nb,,39.320828,-76.654162,,,,,0
167,167,REISTERSTOWN RD & CHOWAN opp nb,REISTERSTOWN RD at CHOWAN AVE opp nb,39.32347,-76.656109,,,,,0
168,168,REISTERSTOWN & DRUID PARK nb,REISTERSTOWN RD at DRUID PARK DR nb,39.325288,-76.657348,,,,,0
170,170,GREENSPRING & PARK HILL nb,GREENSPRING AVE at PARK HILL AVE nb,39.331227,-76.654432,,,,,0
172,172,GREENSPRING & FOXWELL APTS nb,GREENSPRING AVE at FOXWELL APTS nb,39.333125,-76.655645,,,,,0
175,175,GREENSPRING & SHIRLEY N/B,GREENSPRING AVE at SHIRLEY AVE nb,39.336373,-76.65624,,,,,0
177,177,GREENSPRING & COLD SPRING N/B,GREENSPRING AVE at COLD SPRING LN nb,39.340631,-76.657958,,,,,0
178,178,GREENSPRING & WOODLAND N/B,GREENSPRING AVE at WOODLAND AVE nb,39.346301,-76.659416,,,,,0
179,179,GREENSPRING & SPRING GARDEN N/B,GREENSPRING AVE at SPRINGARDEN DR nb,39.348897,-76.65929,,,,,0
180,180,ROLLING RD & RT 40 N/B,DUNDALK AVE at FOLCROFT ST,39.28266,-76.75347,,,,,0
182,182,ROLLING RD & BEVERLY S/B,ROLLING RD at BEVERLY RD sb,39.276701,-76.755278,,,,,0
183,183,EDMONDSON AVE & ROLLING RD FSeb,,39.273589,-76.756366,,,,,0
186,186,FREDERICK RD & SMITHWOOD E/B,FREDERICK RD at SMITHWOOD AVE eb,39.26848,-76.747596,,,,,0
188,188,FREDERICK RD & WYNDCREST AVE opp eb,,39.269658,-76.741936,,,,,0
189,189,FREDERICK RD & OSBORNE AVE op fs eb,,39.269971,-76.740621,,,,,0
190,190,FREDERICK RD & BEAUMONT AVE eb,,39.270247,-76.739277,,,,,0
191,191,FREDERICK RD & SANFORD AVE eb,,39.270764,-76.736945,,,,,0
192,192,FREDERICK RD & NEWBURG AVE eb,,39.271071,-76.735609,,,,,0
193,193,FREDERICK RD & MELLOR E/B,FREDERICK RD at MELLOR AVE eb,39.271391,-76.733947,,,,,0
197,197,FREDERICK RD & WADE AVE eb,,39.273295,-76.725194,,,,,0
199,199,FREDERICK RD & SHADYNOOK AVE eb,,39.27424,-76.720777,,,,,0
200,200,FREDERICK RD & PROSPECT AVE eb,,39.274814,-76.719204,,,,,0
201,201,PARADISE LOOP,FREDERICK RD at BRIARWOOD RD,39.275555,-76.716857,,,,,0
202,202,FREDERICK & PARADISE E/B,FREDERICK RD at PARADISE AVE fs eb,39.27565,-76.7169,,,,,0
203,203,FREDERICK RD & SYMINGTON AVE eb,,39.276206,-76.7151,,,,,0
204,204,FREDERICK RD & NUNNERY LN opp eb,,39.2767,-76.713716,,,,,0
205,205,FREDERICK RD & BELLE GROVE RD eb,,39.277186,-76.712484,,,,,0
207,207,FREDERICK AVE & OVERBROOK RD fs eb,,39.277928,-76.710653,,,,,0
208,208,FREDERICK AVE & TAYLOR AVE fs eb,,39.27836,-76.709492,,,,,0
209,209,FREDERICK AVE & STONECROFT opp eb,FREDERICK AVE at STONECROFT RD opp eb,39.279979,-76.706263,,,,,0
210,210,DUE NORTHBEND & FREDRICK WBMS,NORTH BEND RD at BROOK GREEN RD,39.283323,-76.706284,,,,,0
211,211,NORTHBEND & WB MID SCHOOL lv,NORTH BEND RD at WBMS loop,39.283323,-76.706284,,,,,0
214,214,FREDERICK AVE & CHEDWORTH LN eb,,39.280765,-76.702092,,,,,0
215,215,FREDERICK AVE & ATHOLWOOD LN eb,,39.28098,-76.700394,,,,,0
216,216,FREDERICK AVE & LONG ISLAND AVE eb,,39.281242,-76.696929,,,,,0
217,217,FREDERICK AVE & WICKHAM RD E/B,FREDERICK AVE at WICKHAM RD eb,39.281334,-76.695451,,,,,0
219,219,BEECHFIELD AVE & FREDERICK RD fs sb,BEECHFIELD AVE at FREDERICK AVE fs sb,39.281182,-76.69376,,,,,0
223,223,CEDARGARDEN & LUCIA AVE eb,CEDAR GARDEN RD at LUCIA AVE eb,39.276052,-76.691433,,,,,0
224,224,CEDARGARDEN & BETHNAL RD eb,CEDAR GARDEN RD at BETHNAL RD eb,39.275743,-76.690253,,,,,0
225,225,CEDARGARDEN & YALE AVE eb,CEDAR GARDEN RD at YALE AVE eb,39.274817,-76.688611,,,,,0
226,226,YALE AVE & PARKTON ST nb,,39.277523,-76.686118,,,,,0
228,228,YALE AVE & FREDERICK N/B,YALE AVE at FREDERICK RD nb,39.281576,-76.685459,,,,,0
229,229,FREDERICK AVE & AUGUSTA E/B,FREDERICK AVE at AUGUSTA AVE eb,39.281652,-76.684511,,,,,0
230,230,FREDERICK AVE & LOUDON AVE fs eb,,39.281675,-76.681738,,,,,0
231,231,FREDERICK AVE & LOUDON CEMETERY eb,,39.2817,-76.681305,,,,,0
232,232,FREDERICK AVE & MORLEY ST opp eb,,39.281683,-76.677596,,,,,0
233,233,FREDERICK AVE & RES 3528 eb,FREDERICK AVE at MORLEY/McCURLY res 3528 eb,39.281362,-76.675621,,,,,0
234,234,FREDERICK AVE & McCURLEY ST opp eb,FREDERICK AVE at MC CURLEY ST opp eb,39.281123,-76.673997,,,,,0
235,235,FREDERICK AVE & HILTON E/B,FREDERICK AVE at HILTON ST eb,39.280941,-76.672541,,,,,0
237,237,FREDERICK AVE & ELLAMONT ST opp eb,,39.280488,-76.669825,,,,,0
238,238,FREDERICK AVE & WELLESLEY ST eb,,39.28025,-76.668293,,,,,0
239,239,FREDERICK AVE & LONGWOOD ST fs eb,,39.279919,-76.666155,,,,,0
240,240,HILTON ST & MORLEY N/B,HILTON ST at MORLEY nb,39.287584,-76.672227,,,,,0
241,241,HILTON ST & KOSSUTH N/B,HILTON ST at KOSSUTH ST nb,39.288611,-76.672324,,,,,0
242,242,HILTON ST & CULVER N/B,HILTON ST at CULVER ST nb,39.289691,-76.672374,,,,,0
244,244,HILTON ST & TROY OP N/B,HILTON ST at TROY ST op nb,39.3158,-76.672651,,,,,0
245,245,HILTON ST & ALTO N/B,HILTON ST at ALTO nb,39.317442,-76.672744,,,,,0
246,246,HILTON ST & CARLISLE N/B,HILTON ST at CARLISLE AVE nb,39.319344,-76.672858,,,,,0
247,247,HILTON ST & POWHATAN FS N/B,HILTON ST at POWHATAN AVE fs nb,39.320388,-76.672885,,,,,0
248,248,HILTON ST & FAIRVIEW N/B,HILTON ST at FAIRVIEW AVE nb,39.321208,-76.672726,,,,,0
249,249,HILTON ST & SPRINGDALE N/B,HILTON ST at SPRINGDALE nb,39.322143,-76.672251,,,,,0
250,250,HILTON ST & FOREST PARK N/B,HILTON ST at FOREST PARK nb,39.323078,-76.671822,,,,,0
251,251,HILTON & LIBERTY HGT nb,HILTON ST at LIBERTY HEIGHTS nb,39.323982,-76.67138,,,,,0
252,252,LIBERTY HTS & ELLAMONT opp sb,LIBERTY HEIGHTS at ELLAMONT RD opp sb,39.32337,-76.669373,,,,,0
253,253,LIBERTY HEIGHTS & DUKELAND sb,LIBERTY HEIGHTS at DUKELAND ST sb,39.322546,-76.666687,,,,,0
257,257,POLY WESTERN HIGH SCHOOL,POLY/WESTERN  LV at SERVICE DR lv sch,39.345744,-76.641859,,,,,0
261,261,FREDERICK & FONTHILL FS E/B,FREDERICK RD at FONTHILL fs eb,39.279646,-76.663127,,,,,0
262,262,FREDERICK AVE & BRUNSWICK ST eb,,39.280506,-76.66009,,,,,0
263,263,FREDERICK AVE & TYRONE ST E/B,FREDERICK AVE at TYRONE ST eb,39.281285,-76.658792,,,,,0
264,264,FREDERICK AVE & FRANKLINTOWN  op eb,FREDERICK AVE at FRANKLINTOWN RD opp eb,39.282304,-76.657221,,,,,0
265,265,FREDERICK AVE & CATHERINE ST eb,,39.283288,-76.655832,,,,,0
266,266,FREDERICK AVE & WILLARD ST opp eb,,39.284013,-76.654399,,,,,0
267,267,FREDERICK AVE & BENTALOU ST eb,,39.284648,-76.652615,,,,,0
268,268,PRATT & SMALLWOOD E/B,PRATT ST at SMALLWOOD ST eb,39.284891,-76.651256,,,,,0
269,269,PRATT & PULASKI E/B,PRATT ST at PULASKI ST eb,39.285,-76.649816,,,,,0
270,270,PRATT & PAYSON E/B,PRATT ST at PAYSON ST eb,39.285021,-76.648494,,,,,0
272,272,PRATT & FULTON E/B,PRATT ST at FULTON AVE eb,39.285165,-76.644983,,,,,0
273,273,PRATT & MOUNT E/B,PRATT ST at MOUNT ST eb,39.285256,-76.643613,,,,,0
277,277,BALTIMORE ST & CAREY  ST eb,BALTIMORE ST at CAREY ST eb,39.288499,-76.63811,,,,,0
283,283,FAYETTE ST & GAY ST wb,,39.290555,-76.608962,,,,,0
285,285,FAYETTE ST & ST PAUL ST wb,,39.290401,-76.613588,,,,,0
286,286,FAYETTE & CHARLES mid ST PAUL wb,FAYETTE ST at CHARLES ST mid ST PAUL wb,39.290369,-76.614249,,,,,0
294,294,LOMBARD ST & MOUNT W/B,LOMBARD ST at MOUNT ST wb,39.286318,-76.643546,,,,,0
295,295,LOMBARD ST & FULTON FS W/B,LOMBARD ST at FULTON fs wb,39.286237,-76.64529,,,,,0
296,296,LOMBARD ST & MONROE W/B,LOMBARD ST at MONROE ST wb,39.286181,-76.646706,,,,,0
297,297,LOMBARD ST & PAYSON ST  W/B,LOMBARD ST at PAYSON ST wb,39.286111,-76.648076,,,,,0
298,298,FREDERICK & PULASKI W/B,FREDERICK RD at PULASKI ST wb,39.285697,-76.649892,,,,,0
299,299,FREDERICK & SMALLWOOD OP W/B,FREDERICK RD at SMALLWOOD opp wb,39.285283,-76.65123,,,,,0
300,300,FREDERICK AVE & BENTALOU ST wb,FREDERICK AVE at BENTLOU ST wb,39.284667,-76.653036,,,,,0
301,301,FREDERICK AVE & WILLARD ST wb,,39.284183,-76.654398,,,,,0
302,302,FREDERICK AVE & CATHERINE ST wb,,39.283378,-76.655843,,,,,0
303,303,FREDERICK AVE & FRANKLINTOWN wb,FREDERICK AVE at FRANKLINTOWN RD wb,39.282492,-76.657254,,,,,0
304,304,FREDERICK AVE & TYRONE ST wb,,39.281632,-76.65856,,,,,0
306,306,FREDERICK AVE & FONTHILL AVE wb,FREDERICK AVE at FONT HILL AVE wb,39.279735,-76.663114,,,,,0
308,308,FREDERICK AVE & LONGWOOD ST opp wb,,39.280098,-76.666411,,,,,0
309,309,FREDERICK AVE & MT OLIVET LN wb,,39.280337,-76.667907,,,,,0
310,310,FREDERICK AVE & ELLAMONT ST wb,,39.28064,-76.669789,,,,,0
313,313,DUE POLY WESTERN HIGH,POLY/WESTERN  DUE at SERVICE DR due sch,39.345744,-76.641859,,,,,0
315,315,FALLS RD & COLDSPRING LA  sb,FALLS RD at COLD SPRING LN sb,39.343484,-76.640278,,,,,0
317,317,FALLS RD & ROLAND HEIGHTS sb,FALLS RD at ROLAND HEIGHTS AVE sb,39.341103,-76.639491,,,,,0
319,319,FALLS RD & 41ST ST sb,,39.337586,-76.637303,,,,,0
320,320,41ST ST & EDGEHILL AVE wb,,39.33689,-76.639081,,,,,0
321,321,41ST & BUENA VISTA W/B,41ST ST at BUENA VISTA AVE wb,39.336476,-76.640247,,,,,0
322,322,41ST & SEARS ENTRANCE W/B,41ST ST at SEARS ENTRANCE wb,39.335127,-76.643592,,,,,0
324,324,DRUID PARK & PARKDALE wb,DRUID PARK DR at PARKDALE AVE wb,39.332014,-76.648266,,,,,0
326,326,DRUID PARK & GREENSPRING wb,DRUID PARK DR at GREENSPRING AVE wb,39.330366,-76.653888,,,,,0
328,328,DRUID PARK & PARK HEIGHTS wb,DRUID PARK DR at PARK HEIGHTS AVE wb,39.325496,-76.657474,,,,,0
330,330,DRUID PARK & TOWANDA AVE W/B,DRUID PARK DR at TOWANDA AVE wb,39.324352,-76.659188,,,,,0
331,331,DRUID PARK & 2900 BLK DRUID PARK,DRUID PARK DR at CARLINS PARK DR wb,39.323176,-76.66214,,,,,0
332,332,LIBERTY HEIGHTS & ROSEDALE nb,LIBERTY HEIGHTS AVE at ROSEDALE RD nb,39.322943,-76.667283,,,,,0
334,334,HILTON & FOREST PARK S/B,HILTON ST at FOREST PARK AVE sb,39.323203,-76.671938,,,,,0
335,335,HILTON & POWHATAN S/B,HILTON ST at POWHATAN AVE sb,39.320273,-76.673073,,,,,0
336,336,HILTON & CARLISLE S/B,HILTON ST at CARLISLE AVE sb,39.319424,-76.672963,,,,,0
337,337,HILTON & ALTO S/B,HILTON ST at ALTO RD sb,39.317523,-76.672849,,,,,0
338,338,HILTON & PIEDMONT S/B,HILTON ST at PIEDMONT RD sb,39.316345,-76.672764,,,,,0
339,339,HILTON & MONDAWMIN S/B,HILTON ST at MONDAWMIN AVE sb,39.315292,-76.672726,,,,,0
340,340,EDMONDSON & EDGEWOOD W/B,EDMONDSON AVE at EDGEWOOD ST wb,39.294067,-76.675383,,,,,0
341,341,EDMONDSON & GRANTLY W/B,EDMONDSON AVE at GRANTLEY ST wb,39.29403,-76.677045,,,,,0
342,342,CATON AVE & MORLEY ST eb,,39.286584,-76.674107,,,,,0
343,343,FREDERICK & FREDHILTON W/B,FREDERICK AVE at HILTON ST,39.281004,-76.672471,,,,,0
344,344,FREDERICK AVE & McCURLEY ST wb,FREDERICK AVE at MC CURLEY ST wb,39.281265,-76.673926,,,,,0
346,346,FREDERICK AVE & MORLEY ST wb,,39.281826,-76.677513,,,,,0
347,347,FREDERICK AVE & LOUDON PARK CEM wb,,39.281939,-76.678823,,,,,0
348,348,FREDERICK AVE & MONASTERY AVE wb,,39.281867,-76.680812,,,,,0
349,349,FREDERICK AVE & LOUDON AVE wb,,39.281827,-76.681807,,,,,0
